tract,gsmn_math_g3_2013,,Census Tract,,
30100,3.5722244,,301,30100,TRUE
30201,3.6739938,,302.01,30201,TRUE
30202,3.8854907,,302.02,30202,TRUE
30203,3.7033026,,302.03,30203,TRUE
30301,3.9785872,,303.01,30301,TRUE
30302,4.0531888,,303.02,30302,TRUE
30303,4.0531888,,303.03,30303,TRUE
30304,4.0531888,,303.04,30304,TRUE
30305,4.5122857,,303.05,30305,TRUE
30403,5.0522952,,304.03,30403,TRUE
30404,5.0522952,,304.04,30404,TRUE
30405,5.0522952,,304.05,30405,TRUE
30406,5.0522952,,304.06,30406,TRUE
30407,5.0522952,,304.07,30407,TRUE
30408,5.0522952,,304.08,30408,TRUE
30504,5.0522952,,305.04,30504,TRUE
30505,5.0522952,,305.05,30505,TRUE
30506,5.0522952,,305.06,30506,TRUE
30507,5.0522952,,305.07,30507,TRUE
30508,5.0522952,,305.08,30508,TRUE
30509,5.0522952,,305.09,30509,TRUE
30510,5.0522952,,305.1,30510,TRUE
30511,5.0522952,,305.11,30511,TRUE
30512,5.0522952,,305.12,30512,TRUE
30513,4.7021246,,305.13,30513,TRUE
30514,3.9368947,,305.14,30514,TRUE
30515,4.4895639,,305.15,30515,TRUE
30516,4.4895639,,305.16,30516,TRUE
30517,4.4895639,,305.17,30517,TRUE
30518,5.0522952,,305.18,30518,TRUE
30519,4.6899509,,305.19,30519,TRUE
30520,5.0522952,,305.2,30520,TRUE
30521,5.0522952,,305.21,30521,TRUE
30522,4.6899509,,305.22,30522,TRUE
30523,4.6899509,,305.23,30523,TRUE
30524,4.0531888,,305.24,30524,TRUE
30525,3.9368947,,305.25,30525,TRUE
30526,3.9368947,,305.26,30526,TRUE
30527,3.9368947,,305.27,30527,TRUE
30528,3.9368947,,305.28,30528,TRUE
30529,3.9368947,,305.29,30529,TRUE
30530,3.9368947,,305.3,30530,TRUE
30531,3.9368947,,305.31,30531,TRUE
30601,3.9368947,,306.01,30601,TRUE
30603,3.9368947,,306.03,30603,TRUE
30604,3.9368947,,306.04,30604,TRUE
30605,3.9368947,,306.05,30605,TRUE
30701,4.003685,,307.01,30701,TRUE
30702,3.9368947,,307.02,30702,TRUE
30801,3.9368947,,308.01,30801,TRUE
30802,3.9368947,,308.02,30802,TRUE
30900,4.7297215,,309,30900,TRUE
31001,3.6707499,,310.01,31001,TRUE
31003,3.6707499,,310.03,31003,TRUE
31004,3.6707499,,310.04,31004,TRUE
31100,3.3718288,,311,31100,TRUE
31201,3.7621276,,312.01,31201,TRUE
31202,3.8408344,,312.02,31202,TRUE
31308,4.3883123,,313.08,31308,TRUE
31309,4.3883123,,313.09,31309,TRUE
31310,4.3883123,,313.1,31310,TRUE
31311,4.3883123,,313.11,31311,TRUE
31312,4.1708279,,313.12,31312,TRUE
31313,4.8094473,,313.13,31313,TRUE
31314,4.5117745,,313.14,31314,TRUE
31315,4.3049316,,313.15,31315,TRUE
31316,4.3049316,,313.16,31316,TRUE
31317,4.3049316,,313.17,31317,TRUE
31405,4.5616598,,314.05,31405,TRUE
31406,4.9144588,,314.06,31406,TRUE
31407,4.4774971,,314.07,31407,TRUE
31408,5.3526611,,314.08,31408,TRUE
31409,4.6734486,,314.09,31409,TRUE
31410,4.9930191,,314.1,31410,TRUE
31411,4.6734486,,314.11,31411,TRUE
31504,4.9930191,,315.04,31504,TRUE
31505,4.6734486,,315.05,31505,TRUE
31506,4.9930191,,315.06,31506,TRUE
31507,4.9930191,,315.07,31507,TRUE
31508,4.9930191,,315.08,31508,TRUE
31611,4.1708279,,316.11,31611,TRUE
31612,4.1708279,,316.12,31612,TRUE
31613,4.1708279,,316.13,31613,TRUE
31621,4.1708279,,316.21,31621,TRUE
