,Street,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,County,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,count
0,5601 Hiett Ct , Fort Worth, TX,76112,32.734303,-97.233804,1,rooftop,5601,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101302,1035,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
1,5301 Collett Little Rd , Fort Worth, TX,76119,32.670682,-97.243359,1,range_interpolation,5301,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,106102,1037,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
2,5320 Carver Dr , Fort Worth, TX,76107,32.716211,-97.401832,1,rooftop,5320,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,102500,4017,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
3,6333 Ferncreek Ln  , Fort Worth, TX,76179,32.855289,-97.423063,1,rooftop,6333,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,114007,1006,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
4,4312 Lorin Ave , Fort Worth, TX,76105,32.720213,-97.25893,1,rooftop,4312,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,103702,2009,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
5,9028 Quarter Horse Ln , Fort Worth, TX,76123,32.609982,-97.383743,1,rooftop,9028,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2043,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
6,4808 E Lancaster Ave , Fort Worth, TX,76103,32.740041,-97.24995,1,rooftop,4808,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101403,3006,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
7,5200 E Lancaster Ave , Fort Worth, TX,76112,32.739895,-97.243167,1,rooftop,5200,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101403,4008,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
9,7301 Ederville Rd , Fort Worth, TX,76112,32.758756,-97.199531,1,rooftop,7301,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106503,1015,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
12,3557 Kellis St , Fort Worth, TX,76119,32.687015,-97.271794,0.9,rooftop,3557,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,104603,3001,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
